#{"t_start": 1772812606.729522, "env_id": "Meta-World/MT1"}
r,l,t,s,success
48.108695,500,693.045318,0,0.0
4523.7122,500,694.927036,1.0,1.0
610.718999,500,696.792161,1.0,1.0
4422.881148,500,698.662782,1.0,1.0
43.679565,500,700.503993,0,0.0
55.802618,500,702.388666,0,0.0
34.622768,500,704.22,0,0.0
55.307721,500,706.068627,0,0.0
40.757115,500,707.859509,0,0.0
50.241377,500,709.67815,0,0.0
58.437726,500,711.536256,0,0.0
39.656829,500,713.345187,0,0.0
4653.05625,500,715.215723,1.0,1.0
37.649857,500,717.023092,0,0.0
67.929036,500,718.950696,0,0.0
114.186622,500,720.794339,0,0.0
118.431986,500,722.652746,1.0,0.0
66.910853,500,724.549586,1.0,1.0
42.464638,500,726.436786,0,0.0
53.648719,500,728.32929,0,0.0
52.60208,500,730.287948,0,0.0
89.405155,500,732.352273,0,0.0
138.977576,500,734.409153,0,0.0
42.534741,500,736.212245,0,0.0
15.140002,500,738.000467,0,0.0
51.793537,500,739.829875,0,0.0
19.398703,500,742.495645,0,0.0
86.124205,500,744.352778,0,0.0
149.917265,500,746.214564,1.0,0.0
150.31146,500,748.064108,1.0,0.0
4484.210586,500,749.967788,1.0,1.0
36.798721,500,751.836779,0,0.0
60.215872,500,753.727554,0,0.0
93.994506,500,755.609996,0,0.0
33.176039,500,757.478915,0,0.0
138.45975,500,759.327539,1.0,0.0
147.219498,500,761.205882,0,0.0
40.986932,500,763.05979,0,0.0
34.068766,500,764.869416,0,0.0
24.329474,500,766.847066,0,0.0
143.774204,500,768.814114,0,0.0
68.568814,500,770.701287,0,0.0
3717.201062,500,772.593543,1.0,1.0
101.978089,500,774.670998,1.0,0.0
38.48084,500,776.497358,0,0.0
105.183642,500,778.380565,1.0,0.0
92.235753,500,780.220653,1.0,0.0
91.638553,500,782.182742,0,0.0
939.031388,500,784.012209,1.0,0.0
15.812057,500,786.013005,0,0.0
3092.561451,500,787.841663,1.0,1.0
90.089223,500,789.655149,1.0,0.0
19.735867,500,791.508889,0,0.0
125.047057,500,793.444186,1.0,0.0
74.248122,500,795.347132,0,0.0
131.123391,500,797.211877,1.0,0.0
2607.423762,500,799.044697,1.0,1.0
23.662815,500,800.868809,0,0.0
1276.665874,500,802.7335,1.0,1.0
58.925192,500,804.632937,0,0.0
19.501002,500,806.514828,0,0.0
34.805332,500,808.384434,0,0.0
4423.878219,500,810.216307,1.0,1.0
26.236264,500,812.041085,0,0.0
18.748245,500,813.850893,0,0.0
56.221394,500,815.700133,0,0.0
290.382061,500,817.573935,0,0.0
4632.481549,500,819.420501,1.0,1.0
369.653397,500,821.329541,1.0,0.0
9.677653,500,823.189789,0,0.0
19.167964,500,825.055551,0,0.0
76.96094,500,826.902183,1.0,0.0
106.454591,500,828.746177,0,0.0
32.540825,500,830.54945,0,0.0
25.912466,500,832.37759,0,0.0
28.942635,500,834.185108,0,0.0
53.396698,500,836.997889,0,0.0
42.3437,500,838.899599,0,0.0
65.337889,500,840.739809,0,0.0
85.937193,500,842.630604,0,0.0
4522.508297,500,844.470701,1.0,1.0
45.666861,500,846.276926,0,0.0
159.158434,500,848.144833,1.0,0.0
41.671175,500,850.004198,0,0.0
97.474341,500,851.817512,1.0,0.0
4553.302856,500,853.671069,1.0,1.0
4505.06014,500,855.559976,1.0,1.0
152.322196,500,857.46817,1.0,0.0
44.512014,500,859.259299,0,0.0
4591.566168,500,861.057286,1.0,1.0
64.837932,500,862.917136,0,0.0
69.124029,500,864.732157,0,0.0
38.974845,500,866.524757,0,0.0
49.001176,500,868.390449,0,0.0
52.373711,500,870.266103,0,0.0
20.824677,500,872.073251,0,0.0
74.812008,500,873.945331,0,0.0
46.344157,500,875.828283,0,0.0
52.305564,500,877.668285,0,0.0
32.028524,500,879.504798,0,0.0
18.184195,500,881.316179,0,0.0
54.394609,500,883.162594,0,0.0
64.95831,500,885.010617,0,0.0
29.668629,500,886.90444,0,0.0
1311.413319,500,888.792805,1.0,1.0
4549.387633,500,890.629489,1.0,1.0
31.983871,500,892.436991,0,0.0
101.306422,500,894.33902,0,0.0
59.036558,500,896.131902,0,0.0
1203.166484,500,897.988734,1.0,0.0
139.79463,500,899.823201,1.0,0.0
48.563057,500,901.650023,0,0.0
31.353021,500,903.508228,0,0.0
27.265161,500,905.291994,0,0.0
99.371767,500,907.159884,0,0.0
25.238392,500,908.965119,0,0.0
22.660891,500,910.792634,0,0.0
1139.042505,500,912.647139,1.0,0.0
31.527687,500,914.467428,0,0.0
28.53973,500,916.297901,0,0.0
28.207323,500,918.097322,0,0.0
28.248235,500,919.915848,0,0.0
4527.521037,500,921.756823,1.0,1.0
30.547736,500,923.572827,0,0.0
29.115844,500,925.371089,0,0.0
196.847916,500,927.179609,1.0,0.0
73.01889,500,929.921802,0,0.0
4496.513305,500,931.773519,1.0,1.0
55.336295,500,933.601241,0,0.0
39.594551,500,935.453506,0,0.0
4373.261868,500,937.300704,1.0,1.0
4365.644668,500,939.158457,1.0,1.0
4177.728465,500,941.040173,1.0,1.0
35.260372,500,942.936515,0,0.0
2048.01074,500,944.794906,1.0,1.0
52.905422,500,946.655069,0,0.0
100.723102,500,948.526819,0,0.0
85.284127,500,950.406879,1.0,0.0
126.819884,500,952.223858,1.0,0.0
155.591425,500,954.087969,1.0,0.0
52.066854,500,955.897355,0,0.0
68.396668,500,957.711551,0,0.0
150.894935,500,959.620604,1.0,0.0
108.859529,500,961.441974,1.0,0.0
4367.333402,500,963.24974,1.0,1.0
113.575866,500,965.069729,0,0.0
51.944221,500,966.871,0,0.0
4621.476436,500,968.724303,1.0,1.0
4237.260889,500,970.568873,1.0,1.0
114.862852,500,972.436351,0,0.0
32.973304,500,974.238717,0,0.0
58.763673,500,976.101395,0,0.0
110.450262,500,977.935031,1.0,0.0
82.045772,500,979.805518,1.0,0.0
46.804631,500,981.641271,0,0.0
65.316578,500,983.46043,0,0.0
39.071832,500,985.333759,0,0.0
142.327845,500,987.204908,1.0,0.0
245.022901,500,989.036816,0,0.0
41.243405,500,990.923827,0,0.0
20.206538,500,992.739226,0,0.0
37.517472,500,994.544936,0,0.0
40.63561,500,996.386656,0,0.0
54.132696,500,998.231534,0,0.0
85.5485,500,1000.040085,0,0.0
119.313562,500,1001.885677,1.0,0.0
17.927319,500,1003.679939,0,0.0
62.431991,500,1005.494831,0,0.0
4661.357745,500,1007.309936,1.0,1.0
25.834194,500,1009.115635,0,0.0
14.654255,500,1010.932276,0,0.0
30.894266,500,1012.738472,0,0.0
10.931657,500,1014.541513,0,0.0
347.707966,500,1016.385869,1.0,0.0
11.720058,500,1018.204595,0,0.0
16.062593,500,1020.007225,0,0.0
36.587748,500,1022.669881,0,0.0
107.308037,500,1024.491337,1.0,0.0
52.130611,500,1026.355379,0,0.0
58.677401,500,1028.222746,0,0.0
2188.290347,500,1030.068256,1.0,1.0
33.424222,500,1031.933578,0,0.0
57.12521,500,1033.787495,0,0.0
36.330744,500,1035.627713,0,0.0
39.534858,500,1037.456852,0,0.0
148.938157,500,1039.295583,0,0.0
79.997407,500,1041.099927,1.0,0.0
140.124296,500,1042.942994,1.0,0.0
152.077538,500,1044.833021,1.0,0.0
44.304561,500,1046.716829,0,0.0
27.927771,500,1048.627404,0,0.0
152.261016,500,1050.497977,1.0,0.0
4582.197483,500,1052.335214,1.0,1.0
472.270018,500,1054.209974,0,0.0
33.167832,500,1056.024784,0,0.0
4522.863308,500,1057.910454,1.0,1.0
41.040984,500,1059.724804,0,0.0
3651.335913,500,1061.572052,1.0,1.0
116.892166,500,1063.442937,0,0.0
49.120617,500,1065.375621,0,0.0
50.208909,500,1067.193678,0,0.0
4721.034557,500,1069.052528,1.0,1.0
144.626071,500,1070.880675,1.0,0.0
92.393613,500,1072.71207,0,0.0
68.28464,500,1074.549844,0,0.0
25.879094,500,1076.349832,0,0.0
4463.325814,500,1078.231396,1.0,1.0
47.290986,500,1080.058332,0,0.0
49.643289,500,1081.912138,0,0.0
53.177037,500,1083.765223,0,0.0
48.248211,500,1085.659665,0,0.0
112.254753,500,1087.565974,0,0.0
42.999531,500,1089.370019,0,0.0
1246.532789,500,1091.247675,1.0,0.0
500.2914,500,1093.150193,1.0,1.0
164.277022,500,1094.971146,0,0.0
44.789656,500,1096.836198,0,0.0
129.461718,500,1098.672197,1.0,0.0
4283.48905,500,1100.552448,1.0,1.0
168.608988,500,1102.445503,1.0,0.0
1763.777614,500,1104.300564,1.0,0.0
1135.291288,500,1106.120473,1.0,0.0
1112.013895,500,1108.053739,1.0,1.0
3758.968236,500,1109.894973,1.0,1.0
55.160813,500,1111.764507,0,0.0
54.697827,500,1113.621275,0,0.0
36.390861,500,1116.384513,0,0.0
4681.078789,500,1118.229711,1.0,1.0
4750.49456,500,1120.093507,1.0,1.0
13.523914,500,1121.927009,0,0.0
46.001701,500,1123.829911,0,0.0
21.702938,500,1125.633831,0,0.0
14.524978,500,1127.423813,0,0.0
2419.239748,500,1129.279232,1.0,1.0
36.512096,500,1131.144866,0,0.0
51.271018,500,1132.938284,0,0.0
114.943383,500,1134.808165,0,0.0
4651.851475,500,1136.664202,1.0,1.0
4641.764727,500,1138.582165,1.0,1.0
14.271396,500,1140.401332,0,0.0
39.857513,500,1142.21321,0,0.0
